Кадетов Мартын
Фонвизин Борислав
Витковский Ефрем
Щербина Захар
Антонов Казимир
Яушкин Мартьян
Старицкий Ипполит
Тихоненко Мефодий
Белозеров Артур
Семенов Мирон
Анников Тихон
Каналин Вениамин
Яновицкий Агап
Балыков Потап
Корепанов Евгений
Кузикин Макар
Щеголев Варфоломей
Цыринский Модест
Сильвестров Константин
Князев Тимофей
Лагранский Артём
Ширяев Федор
Титов Эрнест
Ивкин Данил
Сидоров Федот
Конев Моисей
Елешев Семен
Енотин Поликарп
Луковников Касьян
Бысов Владлен
Голубкин Афанасий
Панарин Клавдий
Киселев Тит
Нутрихин Евсей
Дворников Иннокентий
Ешевский Руслан
Созыкин Радион
Брантов Валентин
Тенишев Филипп
Онипченко Кузьма
Арнаутов Игнат
Логиновский Осип
Зыков Агафон
Яковенцев Кир
Хомичев Серафим
Шуленков Герман
Лютов Эрнст
Храмов Кирилл
Бесфамильный Парфен
Вотяков Саввелий
Ханилов Иван
Филенков Артемий
Люба Ипатий
Шихирин Адриан
Рыбалкин Аким
Ягудин Капитон
Машлыкин Тимур
Власов Виссарион
Томсин Виктор
Качаев Филимон
Молодцов Ян
Неделяев Ираклий
Коньяков Аскольд
Кудяшов Геннадий
Савватимов Андрон
Житков Демьян
Перешивкин Ульян
Нырцев Максимильян
Ясавеев Онуфрий
Глоба Прокл
Ягнышев Фадей
Кондратов Борис
Кэбин Вацлав
Трапезников Рюрик
Проскура Илья
Полков Мир
Сухомлин Станислав
Анисимов Нестор
Какошин Зиновий
Трофимов Самуил
Сиякаев Радислав
Якушков Карп
Увакин Дементий
Кустов Феофан
Ручкин Рубен
Битнер Виталий
Яковенко Платон
Дуров Сидор
Финагин Юлий
Кабисов Яков
Надервель Пахом
Рыжов Игорь
Балин Гаврила
Цуцких Елисей
Дюков Вячеслав
Яранцев Всеслав
Черниенко Алексей
Локтионов Иосиф
Юдицкий Прохор
Ломтев Петр
Аленин Аркадий
Конаков Назар
Гусенков Фома
Кунаковский Севастьян
Блаженнов Тарас
Рощин Лев
Калугер Юрий
Матвеев Мечислав
Болокан Василий
Выгузов Михей
Телицын Давид
Серебряков Игнатий
Осин Лавр
Якушев Роман
Ямковой Николай
Казючиц Чеслав
Осминин Андриян
Явид Лаврентий
Добрынин Кондратий
Будылин Еремей
Фамусов Олег
Немов Эмиль
Евтушенко Остап
Зубарев Родион
Коромыслов Никифор
Мишутин Александр
Демченко Антон
Гилёв Гавриил
Пронин Андрей
Язьков Ерофей
Швардыгула Савелий
Казаньков Юлиан
Бобрик Денис
Ярмолинский Владислав
Качусов Порфирий
Супрунов Пимен
Логвинов Трофим
Ковшевников Никита
Суружу Евдоким
Есенин Емельян
Бархотов Панкратий
Гольц Евграф
Габулов Наум
Островский Ярослав
Янгосяров Федосий
Буряков Вадим
Горшков Самсон
Игнатенко Сократ
Фастер Матвей
Ямлиханов Павел
